FID;ID_MANANTIAL;LATITUD;LONGITUD;FECHA;CAUDAL;TEMPERATUR;OLOR;CARBONATO_;BICARBONAT;SULFURO_HI;PH_LABORATORIO;CONDUCTIVIDAD;ALCALINIDAD;BICARBON_1;CARBONATOS;SOLIDOS_SO;SOLIDOS_TOTAL;CLORUROS;SULFATOS;NITRATOS;CALCIO;MAGNESIO;ESTRONCIO;SODIO;POTASIO;HIERRO;MANGANESO;ALUMINIO;SILICIO;SILICE;BORO;LITIO;FLUOR;MERCURIO;ZINC;YODURO;BROMURO;NIQUEL;ARSENICO;ANTIMONIO;CESIO;RUBIDIO;DEUTERIO;OXIGENO18;GAS_CARBON;SULFURO__1;METANO;ARGON;NITROGENO;HELIO;HIDROGENO;RADON;PH_IN_SITU;CONDUCTIVIDAD_ELÉCTRICA;AMONIO;OXIGENO;CONSULTABL;OBSERVACIO;DEPOSITOS_;CLASIFICACIÓN;MONOXIDO_C;FOSFATOS;x;y
238;1287;2,18656227;-72,87296531;10/6/2014;0;43,5;;0;199,104;9,588;7,74;363,5;163,2;199,104;0;234;255;2,9;9,9;-999;15;2;0,2;52;3,5;-999;-999;-999;38,5;82,5;-999;-999;4,5;0;-999;0;0;0;0;0;0;0;-43,84;-7,89;0;0;0;0;0;0;0;0;7,74;363,5;0;0;1;;;Bicarbonatada;0;-999;-72,87296531;2,186562267
239;1288;2,18648983;-72,87283055;10/6/2014;0;44,3;;0;186,66;8,568;7,73;360,7;153;186,66;0;239;256;3;9,9;-999;15,5;2;0,2;52;3,5;-999;-999;-999;33,1;70,92857143;-999;-999;4,5;0;-999;0;0;0;0;0;0;0;-42,03;-7,67;0;0;0;0;0;0;0;0;7,73;360,7;0;0;1;;;Bicarbonatada;0;-999;-72,87283055;2,186489826
240;1289;3,16720108;-73,88824251;11/14/2014;0;43,9;;0;34,94;0;6,17;89,09;34,9;42,6;0;62;79;0,6;13,1;-999;-999;2;-999;14;2;0,6;0,1;-999;10,9;23,35714286;-999;-999;0,3;0;-999;0;0;0;0;0;0;0;-46,55;-8,02;0;0;0;0;0;0;0;0;6,17;89,09;0;0;1;;;Bicarbonatada;0;-999;-73,88824251;3,167201083
241;1290;3,16284232;-73,88899903;11/14/2014;0;42,6;;0;28,61;0;6,17;71,92;28,6;34,9;0;44;1592;0,7;9,6;-999;2;-999;-999;14;2;1,5;0,1;-999;12,8;27,42857143;-999;-999;0,3;0;-999;0;0;0;0;0;0;0;-41,27;-7,33;0;0;0;0;0;0;0;0;6,17;71,92;0;0;1;;;Bicarbonatada;0;-999;-73,88899903;3,162842318
242;1291;3,15832968;-73,88900884;11/14/2014;0;45,6;;0;75,3;0;6,8;145,22;75,3;91,9;0;103;108;0,5;7;-999;2;-999;-999;26;4;0,6;0,1;-999;10,5;22,5;-999;-999;0,4;0;-999;0;0;0;0;0;0;0;-42,6;-7,31;0;0;0;0;0;0;0;0;6,8;145,22;0;0;1;;;Bicarbonatada;0;-999;-73,88900884;3,158329678
243;1292;9,69716168;-73,29570572;3/25/2014;0;31,5;;0;497,76;38,5;7,7;1125;408;497,76;0;731;0;126,8266667;53,67133333;-999;103,8;6,692;0,483;171,6;2,6555;-999;-999;-999;7,5185;16,11107143;2,2;0,321;6,518666667;0;-999;0;0;0;0;0;0;0;-47,95;-8,08;0;0;0;0;0;0;0;0;7,7;1125;0;0;1;;;Bicarbonatada;0;-999;-73,29570573;9,697161677
244;1293;4,69519213;-73,05210379;4/24/2014;0;40,8;;0;1,5059375;9,96;4,5;28;1,234375;1,5059375;0;37;0;0,658766667;10,7913;-999;0,6;0,2;-999;6;0,8;-999;0,0515;-999;12,425;26,625;-999;-999;-999;0;-999;0;0;0;0;0;0;0;-46,54;-8,04;0;0;0;0;0;0;0;0;4,5;28;0;0;1;;;Sulfatada;0;-999;-73,05210379;4,695192133
245;1294;10,74152941;-74,97980885;3/26/2014;0;31,1;;0;622,2;3,91;8;1251;510;622,2;0;803;0;169,656;10,12266667;-999;10,171;11,51;0,098;265,35;4,074;-999;-999;-999;14,34;30,72857143;0,5;-999;-999;0;-999;0;0;0;0;0;0;0;-39,03;-6,79;0;0;0;0;0;0;0;0;8;1251;0;0;1;;;Bicarbonatada;0;-999;-74,97980885;10,74152941
246;1295;5,61159213;-72,98991572;1/1/1981;0;47;Leve;0;342;0;6,6;0;280,3278689;342;0;0;0;638;77;0;40;0,05;0;460;55;0;0;0;33,6;72;0,5;1,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,6;0;0;0;1;;Pátina Blanca;Clorurada;0;0;-72,98991572;5,611592133
247;1296;5,58701792;-72,98495276;5/10/1981;1;55;Ausente;0;293;0;7;0;240,1639344;293;0;0;0;39;0;0;10,6;6,36;0;98,9;16,38;0;0;0;47,4;101,5714286;0,2;0,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;1;;No;Bicarbonatada;0;0;-72,98495276;5,587017923
248;1300;4,83364172;-75,18641951;4/13/2011;0,1;48;Ausente;0;183;0;7,09;2673;150;183;0;1508;0;735;75,01735909;0,4;104;2,3;0;396;15,2;-999;0,5;-999;56,3;120,6428571;0;3,3;1,9;-999;-999;0;0;0;0;0;0;0;-85,62740223;-11,34956341;0;0;0;0;0;0;0;0;7,09;2673;0;0;1;;;Clorurada;0;-999;-75,18641951;4,833641718
249;1304;5,66454914;-73,21135143;3/8/2010;2,3;27,4;Ausente;0;89;0;6,97;157,7;72,95082;89;0;98;98;-999;5,2;-999;10,78;1,8;-999;20,64;1,76;0,3;-999;-999;9,4;20,1;-999;0,2;0,1;0;-999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,97;157,7;0;0;1;;;Bicarbonatada;0;1,31;-73,21135143;5,664549138
250;1305;4,61916922;-74,07014838;4/29/2002;0;31,1;Ausente;0;61,2;0;7,1;163;50,1639;61,2;0;0;0;15,1;7,16;0,73;10,3;1,32;-999;19;1,77;2,1;0,05;0,032;7,7;16,5;-999;0,032;0,356;-999;0;-999;-999;0;2,3;-999;-999;-999;-68,7;-9,99;0;0;0;0;0;0;0;0;5,978;163;0,034;0;1;;;Bicarbonatada;0;9,3;-74,07014838;4,619169223
251;1322;5,23440278;-72,74380798;4/22/2014;0;44,2;Ausente;0;193;6,7;6,7;911;158;193;0;661;0;249,5;84,1;5,9;30;3,5;2,38;173,4;12,2;-999;-999;-999;14,28;30,6;0,2;0,7;-999;0;-999;0;0;0;0;0;0;0;-47,94;-7,71;0;0;0;0;0;0;0;0;6,7;911;0;0;1;;;Clorurada;0;-999;-72,74380799;5,234402783
252;1275;2,77121229;-76,04203054;7/13/2012;0;42,1;;0;44,8;0;6,66;1272;36,721311;44,8;0;0;0;345;54,8;1,1;50,1;0,9;1,9;210;6,5;-999;-999;-999;30,1;64,5;0,5;0,5;1,6;0;-999;0;0;0;0;0;0;0;-64,31;-9,42;0;0;0;0;0;0;0;0;6,66;1272;0;0;1;;;Clorurada;0;-999;-76,04203054;2,771212293
253;927;1,57195981;-76,91426814;10/21/2011;0,2;39;Ausente;0;439,2;0;5,79;1510;359,8360656;439;0;905;0;256,0345098;31,13168081;-999;35;12,5;1,5;250;17,5;22,1;0,5;-999;70;150;2,7;-999;0,4;0;-999;0;0;0;0;0;0;0;-72,59753792;-10,16041667;0;0;0;0;0;0;0;0;5,79;1510;0;0;1;;;Clorurada;0;-999;-76,91426815;1,571959813
254;928;1,46271666;-76,97165217;10/22/2011;100;26;Ausente;0;107,36;0;6,32;603;88;107,36;0;449;0;31,8145326;114,6812265;0,805549483;31,2;20,2;-999;58,6;5,8;0,1;-999;-999;37,2;79,71428571;0,45;0,4;1;-999;-999;0;0;0;0;0;0;0;-70,12779215;-10,72596182;0;0;0;0;0;0;0;0;6,32;603;0;0;1;;;Sulfatada;0;0,528469104;-76,97165217;1,462716657
255;929;1,09624575;-77,76318339;8/31/1981;3,1;48;;0;1647;0;6,5;5200;1350;1647;0;0;0;1383;264;0;280;300;0;690;85,8;0;0;0;89,6;192;11,9;1,82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,5;5200;0;0;1;;;Clorurada;0;0;-77,76318339;1,096245752
256;930;1,0377892;-77,63917218;5/17/2007;0;30,7;;0;0;0;5,9;0;0;2249,1;0;0;0;2123,5;197,6;0;146;339;0;1060;115;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,9;0;0;0;1;;;;0;0;-77,63917218;1,037789205
257;931;1,18428139;-76,97258944;10/17/2011;1,5;54;H2S;0;75,64;0;8,92;1560;62;75,64;0;892;892;352,2531742;277,0010763;-999;9,5;-999;-999;311,5;2;0,1;-999;-999;26,4;56,57142857;2,6;-999;2,9;0;0;0;0;0;0;0;0;0;-74,5253587;-10,99480466;0;0;0;0;0;0;0;0;8,92;1560;0;0;1;;;Clorurada;0;0;-76,97258944;1,184281393
258;932;1,09876471;-76,97273629;10/17/2011;3,5;76;Ausente;0;85,4;0;7,67;3000;70;85,4;0;1748;0;720,2334961;380,5216644;-999;77;-999;2,5;519;25;0,1;-999;-999;49,7;106,5;3,5;-999;0,4;-999;-999;0;0;0;0;0;0;0;-72,43329532;-10,2896199;0;0;0;0;0;0;0;0;7,67;3000;0;0;1;;;Clorurada;0;-999;-76,97273629;1,098764706
259;933;6,4599623;-72,59895015;3/5/2010;0,4;44,3;Moderado;0;266,4;0;6,5;1440;218,3606557;266,4;0;816;820;251,3;92,4;-999;86,8;0,46;2,61;145,76;7,48;0,3;0,46;-999;15,9;34,07142857;0,34;0,56;0,65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,5;1440;0;0;1;;Azufre Coloidal;Clorurada;0;0,02;-72,59895015;6,459962295
260;934;6,48221633;-72,5258356;3/5/2010;0,8;59,5;Ausente;0;26,6;0;6,01;7170;21,80327869;26,6;0;3968;4078;2127;53,1;-999;185,9;33,35;5,93;943,6;19,2;3;1;-999;25,6;54,85714286;0,88;3,6;0,98;0;-999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;7170;0;0;1;;Óxidos de Hierro;Clorurada;0;0,07;-72,5258356;6,482216333
261;935;6,1535549;-72,64548399;3/6/2010;0,5;41,5;Moderado;0;406;0;7,05;760;332,7868852;406;0;416;432;7,5;4,2;-999;32,58;10,14;0,5;90,96;2,88;0,4;0,24;-999;16,5;35,35714286;0,3;0,28;0,42;0;-999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7,05;760;0;0;1;;Azufre Coloidal;Bicarbonatada;0;0,01;-72,645484;6,153554905
262;936;5,83553315;-73,58068548;3/9/2010;0,5;28,6;Ausente;0;266;0;7,06;7000;218,0327869;266;0;4162;4194;1751;492;0,76;182,8;40,88;4,58;1198;35,2;0,6;0,16;-999;8,9;19,07142857;0,39;2,8;3,36;0;-999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;7000;0;0;1;;Óxidos de Hierro;Clorurada;0;0,02;-73,58068548;5,835533147
263;937;5,43214019;-74,28811001;5/15/2016;1,2;46,9;;0;355,264;0;6,51;28500;291;355,264;0;17510;0;10100,4;311,81;11,5794;225,2;21,26;17,26;6412;4,646;1,531;0,062;-999;12;25,67;0,3;1,929;-999;0;0,108;0;0;0;0;0;0;0;-48,12;-7,61;0;0;0;0;0;0;0;0;6,51;28500;0;0;1;;;Clorurada;0;-999;-74,28811001;5,432140188
264;938;5,55814846;-73,3698516;3/8/2010;0,6;30,7;Ausente;0;127;0;6,76;173;104,0983607;127;0;108;116;-999;1,4;-999;21,64;2,51;-999;12,84;1,08;1,3;-999;-999;9,5;20,35714286;-999;0,2;0,1;0;-999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,8;173;0;0;1;;Óxidos de Hierro;Bicarbonatada;0;0,06;-73,3698516;5,558148462
265;940;5,63935574;-73,22774318;3/11/2010;0,5;27,7;Ausente;0;50,8;0;6,03;102,5;41,63934426;50,8;0;70;74;0,5;8,7;-999;5,58;1,94;-999;11,68;2,76;0,6;-999;-999;11,2;24;-999;0,2;0,02;0;-999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,03;102,5;0;0;1;;No;Bicarbonatada;0;2,6;-73,22774318;5,63935574
266;941;5,5948238;-73,05706087;3/25/2010;0,8;23,9;Ausente;0;63,4;0;6,3;103;51,97;63,4;0;52;76;0,4;2,98;-999;6,07;3,48;-999;1,54;1,18;7,5;0,3;-999;8,7;18,64285714;-999;0,2;0,02;0;-999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,3;103;0;0;1;;Óxidos de Hierro;Bicarbonatada;0;0,01;-73,05706087;5,594823796
267;950;5,09930299;-73,64614587;5/7/2016;2,5;43,9;;0;69,906;0;6,96;124,2;57;69,906;0;78;0;1,1578;5,4565;0,6626;15,376;1,7668;0,0522;12,166;4,252;0,242;0,2928;-999;10,59;22,66;-999;-999;-999;0;0,004;0;0;0;0;0;0;0;-70,93;-10,41;0;0;0;0;0;0;0;0;6,96;124,2;0;0;1;;;Bicarbonatada;0;-999;-73,64614587;5,099302991
268;942;5,36089216;-73,35361836;3/24/2010;0,3;21,9;Moderado;0;431,4;23,8;7,4;854;353,6065574;431,4;0;530;632;111,7;10,2;-999;43,2;8,17;0;192;3,36;0,3;-999;-999;6,8;14,57142857;0,4;0,24;0,92;0;-999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7,4;854;0;0;1;;Óxidos de Hierro;Bicarbonatada;0;0,03;-73,35361836;5,360892162
269;943;5,37682417;-73,19538585;3/23/2010;0,8;46,5;Ausente;0;76,1;0;5,9;214;62,37704918;76,1;0;122;154;9;28,7;-999;11,08;4,86;-999;7,64;1,52;13,4;0,76;-999;15,4;33;-999;0,2;0,02;0;-999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,9;214;0;0;1;;Óxidos de Hierro;Bicarbonatada;0;0,01;-73,19538585;5,376824172
270;944;5,57025545;-72,58524688;3/10/2010;2;37,1;Ausente;0;76;0;6,45;275,7;62,29508197;76;0;148;148;28,2;18,3;1,17;1,3;3,26;-999;43,48;3,56;4,3;0,13;-999;8,8;18,85714286;0,25;0,24;0,05;0;-999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,5;257,7;0;0;1;;Óxidos de Hierro;Bicarbonatada;0;0,24;-72,58524688;5,57025545
271;945;5,18702883;-74,47999285;5/16/2016;0;30,2;;0;363,804;0,9;7,12;2220;298;363,804;0;1735;0;60,255;820,98;-999;356,6;53,84;4,473;61,7;1,11;0,508;0,47;5,058;8,143;17,42;0,2;0,099;0,3322;0;0,096;0;0;0;0;0;0;0;-45,62;-6,91;0;0;0;0;0;0;0;0;7,12;2220;0;0;1;;;Sulfatada;0;-999;-74,47999286;5,187028829
272;946;5,15945656;-73,67947006;7/9/2016;3;25,7;;0;12,322;0;6,25;50,78;10;12,322;0;43;0;1,2117;2,11;2,8434;3;0,5;-999;2,642;0,8622;-999;-999;-999;5,684;12,16;-999;-999;0,1331;0;-999;0;0;0;0;0;0;0;-65,52;-9,65;0;0;0;0;0;0;0;0;6,25;50,78;0;0;1;;;;0;1,2606;-73,67947006;5,159456558
273;947;5,11117872;-73,83972744;7/10/2016;2,5;34,7;;0;101,626;0;6,8;193,7;83;101,626;0;116;0;2,9401;-999;-999;16,818;3,358;-999;14,73;0,6704;0,1512;-999;-999;9,239;19,76;-999;0;0,2472;0;-999;0;0;0;0;0;0;0;-64,38;-9,61;0;0;0;0;0;0;0;0;6,8;193,7;0;0;1;;;Bicarbonatada;0;-999;-73,83972744;5,111178724
274;948;5,06729375;-73,87568181;5/13/2016;0,2;24;;0;19,642;0;5,93;50,1;16;19,642;0;32;0;1,4859;5,8235;0,3797;1,986;1,696;-999;4,092;1,02;0,0724;-999;-999;7,705;16,48;-999;-999;0,1607;0;0,1713;0;0;0;0;0;0;0;-66,85;-10,12;0;0;0;0;0;0;0;0;5,93;50,1;0;0;1;;;Bicarbonatada;0;0,8328;-73,87568181;5,067293751
275;949;5,06556441;-73,87591966;10/1/2002;0,2;33,7;Leve;0;29,2;0;7,06;73;23,93442623;29,2;0;0;0;3,48;3,27;-999;5,44;0,867;-999;6,1;1,09;0,44;0,033;-999;9,053333333;19,4;-999;0,014;0,183;0,3;0;-999;-999;0;-999;-999;-999;-999;-71,7;-10,05;0;0;0;0;0;0;0;0;6,03;73;-999;0;1;Laboratorio Thermochem;Óxidos de Hierro;Bicarbonatada;0;-999;-73,87591966;5,065564408
276;951;5,09122694;-73,64081817;7/7/2016;1,5;53,9;;0;123,342;0;7,95;258,6;101;123,342;0;158;0;1,9289;2,9347;-999;39,14;4,122;0,0898;6,232;1,8524;-999;0,0573;-999;15,64;33,46;-999;-999;0,3299;0;-999;0;0;0;0;0;0;0;-66,77;-9,55;0;0;0;0;0;0;0;0;7,95;258,6;0;0;1;;;;0;-999;-73,64081817;5,091226943
277;952;5,09083442;-73,64087449;7/7/2016;0;50,5;;0;116,022;0;7,28;338,1;95;116,022;0;147;0;1,5292;2,8511;-999;37,1;4,052;0,0716;4,458;1,3956;-999;0,0732;-999;13,55;28,99;-999;-999;0,2796;0;-999;0;0;0;0;0;0;0;-67,9;-9,7;0;0;0;0;0;0;0;0;7,28;338,1;0;0;1;;;;0;-999;-73,64087449;5,09083442
278;965;4,87628054;-73,85771392;5/6/2016;0;37,7;;0;27,938;0;6,73;54,53;23;27,938;0;43;0;1,0058;3,7792;-999;3,612;2,062;-999;2,782;0,5454;0,2663;0,1987;-999;11,07;23,68;-999;-999;0,1899;0;-999;0;0;0;0;0;0;0;-71,26;-10,35;0;0;0;0;0;0;0;0;6,73;54,53;0;0;1;;;;0;-999;-73,85771392;4,876280539
279;953;5,09755527;-73,64515199;5/7/2016;1,5;45,3;;0;47,824;0;6,44;91,92;39,2;47,8;0;53;0;1,1836;3,5502;-999;7,8;1,844;-999;6,486;3,384;2,506;0,5977;-999;10,9;0;-999;-999;0,1682;0;-999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,44;91,92;0;0;1;;;Bicarbonatada;0;-999;-73,64515199;5,097555273
280;954;5,19496216;-73,38094971;3/20/2010;1;46,5;Ausente;0;291,8;0;6,64;608;239,1803279;291,8;0;330;348;25,4;-999;-999;28,01;6,28;-999;68,32;6;0,6;-999;-999;30,1;64,5;0,8;0,28;0,24;0;-999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,64;608;0;0;1;;Óxidos de Hierro;Bicarbonatada;0;0,01;-73,38094971;5,194962158
281;955;5,20463504;-73,38701818;3/20/2010;3;37,3;Ausente;0;317,2;0;6,73;732;260;317,2;0;398;418;63,5;-999;-999;28,75;5,02;-999;102,4;1,6;0,6;-999;-999;16,8;36;0,36;0,32;0,1;0;-999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,7;732;0;0;1;;Óxidos de Hierro;Bicarbonatada;0;-999;-73,38701818;5,204635044
282;956;5,06381393;-73,5298675;9/24/2002;0;32,9;Ausente;0;523;0;7,75;1220;428,6885246;523;0;0;0;134;-999;-999;7,64;2,47;0,172;2,61;2,9;0,108;0,016;0,0097;16,38;35,1;0,665;0,141;1,23;-999;0;-999;0,103;0;-999;-999;-999;-999;-67,1;-9,53;0;0;0;0;0;0;0;0;7,3;1220;-999;0;1;;Óxidos de Hierro;Bicarbonatada;0;-999;-73,52986751;5,063813927
283;957;5,06359492;-73,5289325;5/8/2016;1,5;45,8;;0;372,588;0;6,49;2521;305;372,588;0;1306;0;558;-999;-999;117,26;4,906;5,621;349,2;2,894;0,946;0,112;-999;19,97;42,72;0,8;0,466;0,5334;0;0,133;0;0;0;0;0;0;0;-62,95;-9,53;0;0;0;0;0;0;0;0;6,49;2521;0;0;1;;;;0;-999;-73,5289325;5,063594915
284;958;5,03599456;-73,02768573;3/24/2010;1;45,8;Ausente;0;63,4;0;6,36;536;51,96721311;63,4;0;322;344;134,6;-999;-999;8,96;9,32;0,79;72,16;7,72;0,6;0,12;-999;19,1;40,92857143;-999;0,56;0,26;0;-999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,4;536;0;0;1;;Óxidos de Hierro;Clorurada;0;0,02;-73,02768573;5,035994558
285;959;4,92864384;-74,25866621;5/14/2016;0,8;48,9;;0;214,964;0;7,39;396,6;176;214,964;0;225;0;27,6503;-999;-999;29,88;3,288;0,3211;48,42;3,468;-999;-999;-999;12,1;25,89;-999;0,1116;0,5323;0;-999;0;0;0;0;0;0;0;-66,45;-10,02;0;0;0;0;0;0;0;0;7,39;396,6;0;0;1;;;;0;-999;-74,25866621;4,928643835
286;960;4,92337699;-74,10575075;7/9/2016;2,5;35,4;;0;195,566;-999;7,45;2924;160,3;195,566;0;1402;0;873,7941;1,0816;-999;57,18;4,03;0,9379;545,8;6,414;0,0797;0,0679;-999;18,1;38,8;-999;0,2328;0,5128;0;0;0;0;0;0;0;0;0;-63,71;-9,41;0;0;0;0;0;0;0;0;7,45;2924;0;0;1;;;;0;-999;-74,10575075;4,923376988
287;961;4,92324221;-74,10629953;9/25/2002;0;32;Ausente;0;161;0;7,29;2060;131,9672131;161;0;0;0;554;18,1;3,56;47,7;4,25;0,839;364;5,26;0,219;0,077;-999;17,26666667;37;0,122;0,173;0,334;-999;0;1;-999;0;-999;-999;-999;-999;-68,3;-9,74;0;0;0;0;0;0;0;0;6,88;2060;0,233;0;1;;No;Clorurada;0;-999;-74,10629954;4,923242208
288;962;4,92373112;-74,10561087;9/25/2002;0;37,1;Ausente;0;195;0;7,61;2640;159,8360656;195;0;0;0;698;5,34;-999;45,3;3,66;0,892;465;6,4;0,156;0,089;0,088;21,14;45,3;-999;0,088;0,51;-999;0;-999;-999;0;-999;-999;-999;-999;-69;-9,7;0;0;0;0;0;0;0;0;7,8;2640;0,094;0;1;Laboratorio Thermochem;No;Clorurada;0;-999;-74,10561087;4,923731117
289;963;4,92385919;-74,10534131;5/13/2016;0;48,6;;0;232,044;0;7,24;4231;190;232,044;0;1532;0;690;-999;-999;42,64;0,76;1,167;537,8;2,982;0,352;0,065;1,306;24,48;52,37;0,2;0,265;0,5807;0;0,134;0;0;0;0;0;0;0;-67,07;-10,08;0;0;0;0;0;0;0;0;7,24;4231;0;0;1;;;;0;-999;-74,10534131;4,923859194
290;964;4,92259386;-73,84250847;7/8/2016;1,3;39,1;;0;40,016;0;6,35;123,8;33;40,016;0;78;0;6,459;2,857;-999;9,406;1,188;-999;8,364;2,306;0,9422;0,1115;-999;10,55;22,57;-999;-999;0,2884;0;-999;0;0;0;0;0;0;0;-66,18;-9,75;0;0;0;0;0;0;0;0;6,35;123,8;0;0;1;;;;0;-999;-73,84250847;4,922593863
291;966;4,6794672;-73,99339027;3/25/2000;0,1;28,4;Leve;0;317;0;7,58;13221;259,8360656;317;0;0;0;3915,7;13,3;0;60,38;6,36;0;1634;2;0;0;0;33,6;72;-999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7,58;13221;0;0;1;;;Clorurada;0;0;-73,99339027;4,679467204
292;967;4,67889749;-73,994237;5/9/2016;2;32,6;;0;80,764;0;7,64;12020;66;80,764;0;6476;0;3922;-999;-999;78,98;6,074;0,923;2702;0,67;-999;-999;-999;10,48;22,42;-999;0,191;-999;0;0,088;0;0;0;0;0;0;0;-67,36;-10,27;0;0;0;0;0;0;0;0;7,64;12020;0;0;1;;;;0;-999;-73,99423701;4,678897488
293;968;4,72865096;-73,29876326;3/19/2010;0,9;33,9;Ausente;0;63,4;0;5,96;347;51,96721311;63,4;0;140;158;52,2;4,5;-999;13,08;4,4;-999;32,12;7,36;5,2;0,19;-999;7,1;15,21428571;0,53;0,24;0,1;0;-999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,96;347;0;0;1;;No;Clorurada;0;0,04;-73,29876326;4,72865096
294;969;4,83354158;-73,20999136;4/23/2014;0;36,1;H2S;0;177,700625;0;6,9;730;145,65625;177,700625;0;497;0;197,9386667;-999;-999;38;2,4;1,378;148;-999;-999;0,218;-999;13,8;29,57142857;0,3;0,165;6,816;0;-999;0;0;0;0;0;0;0;-49,66;-8,09;0;0;0;0;0;0;0;0;6,9;730;0;0;1;;;Clorurada;0;-999;-73,20999137;4,833541585
295;970;4,48129044;-74,64857741;5/19/2016;1;33,7;;0;558,76;1,54;7,08;1284;458;558,76;0;670;0;21,017;136,633;0,289;113,94;22,5;1,062;74,66;5,246;-999;0,054;-999;6,944;14,86;-999;0,051;0,6703;0;0,098;0;0;0;0;0;0;0;-59,98;-8,94;0;0;0;0;0;0;0;0;7,08;1284;0;0;1;;;Bicarbonatada;0;-999;-74,64857741;4,481290437
296;971;4,36240426;-74,66589278;10/28/2002;0,24;36,2;Ausente;0;52,6;0;6,91;115,3;43,1147541;52,6;0;0;0;2,14;7,7;0,745;14,3;0,859;-999;5,9;1,83;-999;0,0052;-999;8,96;19,2;-999;-999;0,248;0,3;0;-999;-999;0;0,6;-999;-999;-999;-59,95;-8,56;0;0;0;0;0;0;0;0;6,14;115,3;-999;0;1;;;Bicarbonatada;0;1,01501679;-74,66589278;4,362404262
297;972;4,36293569;-74,66631653;5/18/2016;0,35;36,4;;0;76,25;1,45;6,24;128,5;63;76,25;0;62;0;3,2353;0,6174;-999;15,326;0,704;-999;8,084;2,13;0,4215;-999;-999;7,329;15,68;-999;-999;0,2798;0;-999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,24;128,5;0;0;1;;;;0;0,9088;-74,66631653;4,362935694
298;973;4,36878392;-74,75393667;5/18/2016;1;31,5;;0;561,2;74,25;6,66;899,5;460;561,2;0;461;0;13,2231;2,854;-999;98,1;28,68;1,727;40,64;8,054;-999;-999;-999;8,258;17,67;-999;-999;0,7738;0;0,101;0;0;0;0;0;0;0;-60,73;-9,31;0;0;0;0;0;0;0;0;6,66;899,5;0;0;1;;;Bicarbonatada;0;-999;-74,75393667;4,368783924
299;974;4,26394534;-74,70119765;5/17/2016;0,32;32,1;;0;548,024;4,25;7,25;891;449;548,024;0;440;0;5,056;12,1401;-999;242,4;11,728;1,522;14,484;4,372;-999;-999;-999;7,94;16,99;-999;-999;0,6262;0;0,095;0;0;0;0;0;0;0;-56,04;-8,73;0;0;0;0;0;0;0;0;7,25;891;0;0;1;;;;0;-999;-74,70119765;4,263945336
300;975;4,40167371;-74,0844159;7/8/2016;0,1;38,9;;0;129,564;0;7,46;266,4;106;129,564;0;157;0;1,8952;0,2185;-999;30,24;1,6054;0,1314;19,592;2,182;-999;0,0505;-999;15,84;33,89;-999;-999;0,297;0;-999;0;0;0;0;0;0;0;-74,63;-11,44;0;0;0;0;0;0;0;0;7,46;266,4;0;0;1;;;;0;-999;-74,0844159;4,401673709
301;976;4,54968819;-73,91783118;10/11/2016;0,22;40,5;;0;397,72;14,2;7,41;774,4;326;397,72;0;459;0;74,1342;22,6086;-999;71,76;15,02;1,996;78,18;8,128;-999;0,1436;-999;12,32;26,4;0,2;0,1949;0,5073;0;-999;0;0;0;0;0;0;0;-78,62;-12,28;0;0;0;0;0;0;0;0;7,41;777,4;0;0;1;;;Bicarbonatada;0;-999;-73,91783118;4,549688188
302;977;4,59431403;-73,09737865;5/11/2016;1,5;72,3;;0;110,898;-999;6;1563;90,9;110,898;0;800;813;347;1,9121;-999;67,84;3,872;1,818;236,2;2,59;0,407;0,272;-999;18,91;40,45;0,5;0,195;0,6762;0;0,112;0;0,2;-999;-999;0;0;0;-42,51;-7,6;0;0;0;0;0;0;0;0;6;1563;0;0;1;;;Clorurada;0;-999;-73,09737865;4,594314033
