FID;ID_MANANTIAL;LATITUD;LONGITUD;FECHA;CAUDAL;TEMPERATUR;OLOR;CARBONATO_;BICARBONAT;SULFURO_HI;PH_LABORATORIO;CONDUCTIVIDAD;ALCALINIDAD;BICARBON_1;CARBONATOS;SOLIDOS_SO;SOLIDOS_TOTAL;CLORUROS;SULFATOS;NITRATOS;CALCIO;MAGNESIO;ESTRONCIO;SODIO;POTASIO;HIERRO;MANGANESO;ALUMINIO;SILICIO;SILICE;BORO;LITIO;FLUOR;MERCURIO;ZINC;YODURO;BROMURO;NIQUEL;ARSENICO;ANTIMONIO;CESIO;RUBIDIO;DEUTERIO;OXIGENO18;GAS_CARBON;SULFURO__1;METANO;ARGON;NITROGENO;HELIO;HIDROGENO;RADON;PH_IN_SITU;CONDUCTIVIDAD_ELÉCTRICA;AMONIO;OXIGENO;CONSULTABL;OBSERVACIO;DEPOSITOS_;CLASIFICACIÓN;MONOXIDO_C;FOSFATOS;x;y
205;1251;1,08852307;-77,71834849;7/24/2012;0,5;60,7;Moderado;0;0;2;2,61;1738;0;0;0;727;0;27,1;199;1,6;44;14;0,25;78;12;2;0,5;4,4;82,8;177,4285714;0,4;0,25;0,367316847;0;0,1;0;0;0;0;0;0;0;-77,95105528;-10,71085038;0;0;0;0;0;0;0;0;2,61;1738;0;0;1;;;Sulfatada;0;-999;-77,71834849;1,088523072
206;1252;1,08880307;-77,71983095;7/24/2012;0,4;61,2;Moderado;0;0;24,5;2,5;1300;0;0;0;827;0;14,29828624;732,0564244;-999;33,5;8;-999;58;21,5;2,5;0,4;6,8;102,3;219,2142857;0,5;-999;0,337662364;0;0,1;0;0;0;0;0;0;0;-74,7270605;-10,25756037;0;0;0;0;0;0;0;0;2,5;1300;0;0;1;;;Sulfatada;0;-999;-77,71983095;1,088803068
207;1253;1,0913265;-77,72189108;8/1/1987;0;51;;0;384,3;0;5,69;0;315;384,3;0;0;0;16,6615;147,84;0;57,4;27,96;0;102,35;17,16;-888;0;0;94,08;201,6;0,3996;0,31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,69;989;0;0;1;;;Bicarbonatada;0;0;-77,72189108;1,0913265
208;1254;0,99789384;-77,66868297;10/24/2011;2;22;Ausente;0;156,16;0;7,05;201,5;128;156,16;0;197;0;0,574624765;1,635174854;-999;12,3;11,1;-999;17,2;3,1;-999;-999;-999;47,3;101,3571429;-999;-999;0,266735091;-999;-999;0;0;0;0;0;0;0;-81,73138307;-11,8406535;0;0;0;0;0;0;0;0;7,05;201,5;0;0;1;Nacimiento en zona de juncos;;Bicarbonatada;0;0,618136354;-77,66868297;0,99789384
209;1264;1,17855057;-76,98020436;6/26/2013;13,09;39,8;Ausente;0;372,1;0;7,5;741;305;372,1;0;478;0;60,43239076;-999;-999;15,50333333;10,3;0,1277;104,2;15,0615;0,2005;-999;-999;40,525;86,83928571;1,6;0,0793;1,263232597;0;-999;0;0;0;0;0;0;0;-69,12460602;-10,63788773;0;0;0;0;0;0;0;0;7,5;819;0;0;1;No se evindecian estructuras Geologicas;;Bicarbonatada;0;-999;-76,98020436;1,178550571
210;1256;1,2519059;-77,3301717;10/15/2011;2,5;28;Fuerte;0;0;0;2,65;3320;0;0;0;2441;0;254;1729;-999;118;96;1,5;119;21;5,8;4,8;16;89,4;191,5714286;1,22;-999;0,82938825;-999;0,2;0;0;0;0;0;0;0;-83,08586777;-11,82218153;0;0;0;0;0;0;0;0;2,65;3320;0;0;1;;Pátina Blanca;Sulfatada;0;-999;-77,3301717;1,251905895
211;1257;1,27023898;-77,31506946;10/15/2011;1;42;Ausente;0;927,2;0;6,08;3220;760;927,2;0;2132;0;376,9227924;658,0971505;0,371642068;117;161;1,5;332,5;52,5;2,7;0,2;-999;94,8;203,1428571;2,9;-999;0,179524007;-999;-999;0;0;0;0;0;0;0;-80,19682104;-11,55407184;0;0;0;0;0;0;0;0;6,08;3220;0;0;1;;;Bicarbonatada-Sulfatada;0;-999;-77,31506946;1,27023898
212;1258;1,20793619;-77,40104107;10/19/2011;100;22,1;Ausente;0;54,9;0;6,46;2400;45;54,9;0;2130;0;123,5637045;1355,059725;0,95512901;318,5;119;1;102,5;10;0,2;4,7;-999;38;81,42857143;0,6;-999;1,228360001;-999;0,1;0;0;0;0;0;0;0;-79,13394953;-12,75581265;0;0;0;0;0;0;0;0;6,46;2400;0;0;1;;Pátina Blanca;Sulfatada;0;-999;-77,40104108;1,207936185
213;1259;1,20762929;-77,39671923;10/19/2011;100;22,5;Ausente;0;46,36;0;7,35;2325;38;46,36;0;2144;0;162,0757742;1341,014642;1,116552741;349,5;130;1,5;105;10;-999;5,6;-999;46;98,57142857;0,59;-999;1,146487534;-999;0,1;0;0;0;0;0;0;0;-81,63107738;-13,02027636;0;0;0;0;0;0;0;0;7,35;2325;0;0;1;;Pátina Blanca;Sulfatada;0;-999;-77,39671923;1,207629289
214;1260;1,2266605;-77,28795657;10/20/2011;2;35,9;Ausente;0;2037,4;0;6,46;2709;1670;2037,4;0;1624;0;48,35593688;2,127109619;-999;175;184;2;202;26,5;8,4;0,8;-999;87,1;186,6428571;3,2;-999;0,203036041;0,2;-999;0;0;0;0;0;0;0;-83,13881852;-11,71293236;0;0;0;0;0;0;0;0;6,46;2709;0;0;1;;Óxidos de Hierro;Bicarbonatada;0;1,495230497;-77,28795657;1,226660497
